,premium,href,title,acceptance,difficulty
0,False,https://leetcode.com/problems/sum-of-subarray-minimums/,907. Sum of Subarray Minimums,34.6%,Medium
1,False,https://leetcode.com/problems/two-sum/,1. Two Sum,49.1%,Easy
2,False,https://leetcode.com/problems/add-two-numbers/,2. Add Two Numbers,39.8%,Medium
3,False,https://leetcode.com/problems/longest-substring-without-repeating-characters/,3. Longest Substring Without Repeating Characters,33.8%,Medium
4,False,https://leetcode.com/problems/median-of-two-sorted-arrays/,4. Median of Two Sorted Arrays,35.3%,Hard
5,False,https://leetcode.com/problems/longest-palindromic-substring/,5. Longest Palindromic Substring,32.4%,Medium
6,False,https://leetcode.com/problems/zigzag-conversion/,6. Zigzag Conversion,43.2%,Medium
7,False,https://leetcode.com/problems/reverse-integer/,7. Reverse Integer,27.3%,Medium
8,False,https://leetcode.com/problems/string-to-integer-atoi/,8. String to Integer (atoi),16.6%,Medium
9,False,https://leetcode.com/problems/palindrome-number/,9. Palindrome Number,53.0%,Easy
10,False,https://leetcode.com/problems/regular-expression-matching/,10. Regular Expression Matching,28.2%,Hard
11,False,https://leetcode.com/problems/container-with-most-water/,11. Container With Most Water,54.3%,Medium
12,False,https://leetcode.com/problems/integer-to-roman/,12. Integer to Roman,61.5%,Medium
13,False,https://leetcode.com/problems/roman-to-integer/,13. Roman to Integer,58.2%,Easy
14,False,https://leetcode.com/problems/longest-common-prefix/,14. Longest Common Prefix,40.8%,Easy
15,False,https://leetcode.com/problems/3sum/,15. 3Sum,32.3%,Medium
16,False,https://leetcode.com/problems/3sum-closest/,16. 3Sum Closest,46.1%,Medium
17,False,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,17. Letter Combinations of a Phone Number,55.7%,Medium
18,False,https://leetcode.com/problems/4sum/,18. 4Sum,36.4%,Medium
19,False,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,19. Remove Nth Node From End of List,40.1%,Medium
20,False,https://leetcode.com/problems/valid-parentheses/,20. Valid Parentheses,40.6%,Easy
21,False,https://leetcode.com/problems/merge-two-sorted-lists/,21. Merge Two Sorted Lists,61.9%,Easy
22,False,https://leetcode.com/problems/generate-parentheses/,22. Generate Parentheses,72.0%,Medium
23,False,https://leetcode.com/problems/merge-k-sorted-lists/,23. Merge k Sorted Lists,48.5%,Hard
24,False,https://leetcode.com/problems/swap-nodes-in-pairs/,24. Swap Nodes in Pairs,60.5%,Medium
25,False,https://leetcode.com/problems/reverse-nodes-in-k-group/,25. Reverse Nodes in k-Group,53.7%,Hard
26,False,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,26. Remove Duplicates from Sorted Array,50.9%,Easy
27,False,https://leetcode.com/problems/remove-element/,27. Remove Element,52.2%,Easy
28,False,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,28. Find the Index of the First Occurrence in a String,37.7%,Medium
29,False,https://leetcode.com/problems/divide-two-integers/,29. Divide Two Integers,17.3%,Medium
30,False,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,30. Substring with Concatenation of All Words,30.9%,Hard
31,False,https://leetcode.com/problems/next-permutation/,31. Next Permutation,37.2%,Medium
32,False,https://leetcode.com/problems/longest-valid-parentheses/,32. Longest Valid Parentheses,32.7%,Hard
33,False,https://leetcode.com/problems/search-in-rotated-sorted-array/,33. Search in Rotated Sorted Array,38.7%,Medium
34,False,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,34. Find First and Last Position of Element in Sorted Array,41.6%,Medium
35,False,https://leetcode.com/problems/search-insert-position/,35. Search Insert Position,42.1%,Easy
36,False,https://leetcode.com/problems/valid-sudoku/,36. Valid Sudoku,57.7%,Medium
37,False,https://leetcode.com/problems/sudoku-solver/,37. Sudoku Solver,56.9%,Hard
38,False,https://leetcode.com/problems/count-and-say/,38. Count and Say,51.4%,Medium
39,False,https://leetcode.com/problems/combination-sum/,39. Combination Sum,67.8%,Medium
40,False,https://leetcode.com/problems/combination-sum-ii/,40. Combination Sum II,53.3%,Medium
41,False,https://leetcode.com/problems/first-missing-positive/,41. First Missing Positive,36.6%,Hard
42,False,https://leetcode.com/problems/trapping-rain-water/,42. Trapping Rain Water,58.9%,Hard
43,False,https://leetcode.com/problems/multiply-strings/,43. Multiply Strings,38.8%,Medium
44,False,https://leetcode.com/problems/wildcard-matching/,44. Wildcard Matching,26.8%,Hard
45,False,https://leetcode.com/problems/jump-game-ii/,45. Jump Game II,38.6%,Medium
46,False,https://leetcode.com/problems/permutations/,46. Permutations,74.9%,Medium
47,False,https://leetcode.com/problems/permutations-ii/,47. Permutations II,56.8%,Medium
48,False,https://leetcode.com/problems/rotate-image/,48. Rotate Image,70.1%,Medium
49,False,https://leetcode.com/problems/group-anagrams/,49. Group Anagrams,66.5%,Medium
50,False,https://leetcode.com/problems/n-queens/,51. N-Queens,63.1%,Hard
51,False,https://leetcode.com/problems/n-queens-ii/,52. N-Queens II,71.0%,Hard
52,False,https://leetcode.com/problems/maximum-subarray/,53. Maximum Subarray,50.1%,Medium
53,False,https://leetcode.com/problems/spiral-matrix/,54. Spiral Matrix,43.9%,Medium
54,False,https://leetcode.com/problems/jump-game/,55. Jump Game,38.5%,Medium
55,False,https://leetcode.com/problems/merge-intervals/,56. Merge Intervals,46.0%,Medium
56,False,https://leetcode.com/problems/insert-interval/,57. Insert Interval,38.0%,Medium
57,False,https://leetcode.com/problems/length-of-last-word/,58. Length of Last Word,40.9%,Easy
58,False,https://leetcode.com/problems/spiral-matrix-ii/,59. Spiral Matrix II,66.7%,Medium
59,False,https://leetcode.com/problems/permutation-sequence/,60. Permutation Sequence,43.9%,Hard
60,False,https://leetcode.com/problems/rotate-list/,61. Rotate List,35.8%,Medium
61,False,https://leetcode.com/problems/unique-paths/,62. Unique Paths,62.3%,Medium
62,False,https://leetcode.com/problems/unique-paths-ii/,63. Unique Paths II,39.2%,Medium
63,False,https://leetcode.com/problems/minimum-path-sum/,64. Minimum Path Sum,60.7%,Medium
64,False,https://leetcode.com/problems/valid-number/,65. Valid Number,18.6%,Hard
65,False,https://leetcode.com/problems/plus-one/,66. Plus One,43.4%,Easy
66,False,https://leetcode.com/problems/add-binary/,67. Add Binary,51.4%,Easy
67,False,https://leetcode.com/problems/text-justification/,68. Text Justification,36.8%,Hard
68,False,https://leetcode.com/problems/sqrtx/,69. Sqrt(x),37.1%,Easy
69,False,https://leetcode.com/problems/climbing-stairs/,70. Climbing Stairs,51.8%,Easy
70,False,https://leetcode.com/problems/simplify-path/,71. Simplify Path,39.2%,Medium
71,False,https://leetcode.com/problems/edit-distance/,72. Edit Distance,52.8%,Hard
72,False,https://leetcode.com/problems/set-matrix-zeroes/,73. Set Matrix Zeroes,50.2%,Medium
73,False,https://leetcode.com/problems/search-a-2d-matrix/,74. Search a 2D Matrix,47.0%,Medium
74,False,https://leetcode.com/problems/sort-colors/,75. Sort Colors,57.4%,Medium
75,False,https://leetcode.com/problems/minimum-window-substring/,76. Minimum Window Substring,40.7%,Hard
76,False,https://leetcode.com/problems/combinations/,77. Combinations,66.3%,Medium
77,False,https://leetcode.com/problems/subsets/,78. Subsets,74.0%,Medium
78,False,https://leetcode.com/problems/word-search/,79. Word Search,40.1%,Medium
79,False,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,80. Remove Duplicates from Sorted Array II,51.7%,Medium
80,False,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,81. Search in Rotated Sorted Array II,35.8%,Medium
81,False,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,82. Remove Duplicates from Sorted List II,45.5%,Medium
82,False,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,83. Remove Duplicates from Sorted List,50.0%,Easy
83,False,https://leetcode.com/problems/largest-rectangle-in-histogram/,84. Largest Rectangle in Histogram,42.2%,Hard
84,False,https://leetcode.com/problems/maximal-rectangle/,85. Maximal Rectangle,44.2%,Hard
85,False,https://leetcode.com/problems/partition-list/,86. Partition List,51.5%,Medium
86,False,https://leetcode.com/problems/scramble-string/,87. Scramble String,36.1%,Hard
87,False,https://leetcode.com/problems/merge-sorted-array/,88. Merge Sorted Array,45.8%,Easy
88,False,https://leetcode.com/problems/gray-code/,89. Gray Code,56.6%,Medium
89,False,https://leetcode.com/problems/subsets-ii/,90. Subsets II,55.4%,Medium
90,False,https://leetcode.com/problems/decode-ways/,91. Decode Ways,32.3%,Medium
91,False,https://leetcode.com/problems/reverse-linked-list-ii/,92. Reverse Linked List II,45.4%,Medium
92,False,https://leetcode.com/problems/restore-ip-addresses/,93. Restore IP Addresses,43.6%,Medium
93,False,https://leetcode.com/problems/binary-tree-inorder-traversal/,94. Binary Tree Inorder Traversal,73.1%,Easy
94,False,https://leetcode.com/problems/unique-binary-search-trees-ii/,95. Unique Binary Search Trees II,51.7%,Medium
95,False,https://leetcode.com/problems/unique-binary-search-trees/,96. Unique Binary Search Trees,59.3%,Medium
96,False,https://leetcode.com/problems/interleaving-string/,97. Interleaving String,37.1%,Medium
97,False,https://leetcode.com/problems/validate-binary-search-tree/,98. Validate Binary Search Tree,31.8%,Medium
98,False,https://leetcode.com/problems/recover-binary-search-tree/,99. Recover Binary Search Tree,50.4%,Medium
99,False,https://leetcode.com/problems/same-tree/,100. Same Tree,56.5%,Easy
100,False,https://leetcode.com/problems/symmetric-tree/,101. Symmetric Tree,53.0%,Easy
101,False,https://leetcode.com/problems/binary-tree-level-order-traversal/,102. Binary Tree Level Order Traversal,63.4%,Medium
102,False,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,103. Binary Tree Zigzag Level Order Traversal,55.2%,Medium
103,False,https://leetcode.com/problems/maximum-depth-of-binary-tree/,104. Maximum Depth of Binary Tree,73.2%,Easy
104,False,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,105. Construct Binary Tree from Preorder and Inorder Traversal,60.9%,Medium
105,False,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,106. Construct Binary Tree from Inorder and Postorder Traversal,57.5%,Medium
106,False,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,107. Binary Tree Level Order Traversal II,60.4%,Medium
107,False,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,108. Convert Sorted Array to Binary Search Tree,69.2%,Easy
