,title_text,slug,number,acceptance,difficulty
0,Two Sum,two-sum,1,0.491,Easy
1,Add Two Numbers,add-two-numbers,2,0.39799999999999996,Medium
2,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,3,0.33799999999999997,Medium
3,Median of Two Sorted Arrays,median-of-two-sorted-arrays,4,0.353,Hard
4,Longest Palindromic Substring,longest-palindromic-substring,5,0.324,Medium
5,Zigzag Conversion,zigzag-conversion,6,0.43200000000000005,Medium
6,Reverse Integer,reverse-integer,7,0.273,Medium
7,String to Integer (atoi),string-to-integer-atoi,8,0.166,Medium
8,Palindrome Number,palindrome-number,9,0.53,Easy
9,Regular Expression Matching,regular-expression-matching,10,0.282,Hard
10,Container With Most Water,container-with-most-water,11,0.5429999999999999,Medium
11,Integer to Roman,integer-to-roman,12,0.615,Medium
12,Roman to Integer,roman-to-integer,13,0.5820000000000001,Easy
13,Longest Common Prefix,longest-common-prefix,14,0.408,Easy
14,3Sum,3sum,15,0.32299999999999995,Medium
15,3Sum Closest,3sum-closest,16,0.461,Medium
16,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,17,0.557,Medium
17,4Sum,4sum,18,0.364,Medium
18,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,19,0.401,Medium
19,Valid Parentheses,valid-parentheses,20,0.406,Easy
20,Merge Two Sorted Lists,merge-two-sorted-lists,21,0.619,Easy
21,Generate Parentheses,generate-parentheses,22,0.72,Medium
22,Merge k Sorted Lists,merge-k-sorted-lists,23,0.485,Hard
23,Swap Nodes in Pairs,swap-nodes-in-pairs,24,0.605,Medium
24,Reverse Nodes in k-Group,reverse-nodes-in-k-group,25,0.537,Hard
25,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,26,0.509,Easy
26,Remove Element,remove-element,27,0.522,Easy
27,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,28,0.377,Medium
28,Divide Two Integers,divide-two-integers,29,0.17300000000000001,Medium
29,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,30,0.309,Hard
30,Next Permutation,next-permutation,31,0.37200000000000005,Medium
31,Longest Valid Parentheses,longest-valid-parentheses,32,0.327,Hard
32,Search in Rotated Sorted Array,search-in-rotated-sorted-array,33,0.387,Medium
